,model_id,n_pipes,gas_boiler,heat_pump,geothermal,gas_P,HP_P,geo_P,indiv_HP_P,pump_P
0,model_gas_boiler_30,3,True,False,False,44094.3125,,,,199.39618110656738
1,model_gas_boiler_31,3,True,False,False,51045.3125,,,,197.98574447631836
2,model_gas_boiler_32,3,True,False,False,53778.38671875,,,,202.14385986328125
3,model_gas_boiler_33,3,True,False,False,32169.259765625,,,,169.98658180236816
4,model_gas_boiler_34,3,True,False,False,48562.609375,,,,199.15271997451782
5,model_gas_boiler_35,3,True,False,False,50473.76171875,,,,203.8640022277832
6,model_gas_boiler_36,3,True,False,False,46350.828125,,,,181.10456466674805
7,model_gas_boiler_37,3,True,False,False,47389.08203125,,,,196.96367979049683
8,model_gas_boiler_38,3,True,False,False,52861.70703125,,,,185.2277398109436
9,model_gas_boiler_39,3,True,False,False,49427.296875,,,,198.05908203125
10,model_gas_boiler_310,3,True,False,False,47099.15234375,,,,199.07914400100708
11,model_gas_boiler_311,3,True,False,False,50323.57421875,,,,205.96868991851807
12,model_gas_boiler_312,3,True,False,False,51804.41796875,,,,233.75468254089355
13,model_gas_boiler_313,3,True,False,False,33177.421875,,,,172.9380965232849
14,model_gas_boiler_314,3,True,False,False,33173.2421875,,,,167.40984916687012
15,model_gas_boiler_315,3,True,False,False,34804.17578125,,,,170.63249349594116
16,model_heat_pump_30,3,False,True,False,,12467.1640625,,,200.24147033691406
17,model_heat_pump_31,3,False,True,False,,12467.0634765625,,,200.24147033691406
18,model_heat_pump_32,3,False,True,False,,12467.0791015625,,,200.24216175079346
19,model_heat_pump_33,3,False,True,False,,12467.2529296875,,,200.24147033691406
20,model_heat_pump_34,3,False,True,False,,12467.16015625,,,200.24144649505615
21,model_heat_pump_35,3,False,True,False,,12467.1787109375,,,200.2450466156006
22,model_heat_pump_36,3,False,True,False,,12467.18359375,,,200.24521350860596
23,model_heat_pump_37,3,False,True,False,,12467.3505859375,,,200.25041103363037
24,model_heat_pump_38,3,False,True,False,,12467.37890625,,,200.24149417877197
25,model_heat_pump_39,3,False,True,False,,12467.2294921875,,,200.2415657043457
26,model_heat_pump_310,3,False,True,False,,12467.1572265625,,,200.2415418624878
27,model_heat_pump_311,3,False,True,False,,12467.1376953125,,,200.243878364563
28,model_heat_pump_312,3,False,True,False,,12467.0625,,,200.24151802062988
29,model_heat_pump_313,3,False,True,False,,12467.2333984375,,,200.24147033691406
30,model_heat_pump_314,3,False,True,False,,12467.0625,,,200.24147033691406
31,model_heat_pump_315,3,False,True,False,,12467.30859375,,,200.24147033691406
32,model_heat_pump_gas_boiler_30,3,True,True,False,11945.1337890625,,,,195.64591646194458
